,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
16572,50.0239,23.3242,334.24,0.45,0.63,2022-05-02,1004,1,VIIRS,n,2.0NRT,289.73,4.43,D
16573,50.02206,23.31848,338.02,0.45,0.63,2022-05-02,1004,1,VIIRS,n,2.0NRT,293.3,4.88,D
18683,47.36165,34.3536,335.48,0.63,0.72,2022-05-02,1145,1,VIIRS,n,2.0NRT,291.15,3.1,D
18690,49.61608,31.07178,335.29,0.46,0.63,2022-05-02,1145,1,VIIRS,n,2.0NRT,299.92,17.75,D
18691,49.62383,31.06773,347.37,0.46,0.63,2022-05-02,1145,1,VIIRS,n,2.0NRT,299.88,16.51,D
18692,49.62395,31.07401,349.58,0.46,0.63,2022-05-02,1145,1,VIIRS,n,2.0NRT,309.34,16.51,D
18693,49.62407,31.08035,336.27,0.46,0.63,2022-05-02,1145,1,VIIRS,n,2.0NRT,298.52,22.61,D
18694,49.61806,31.07409,367,0.46,0.63,2022-05-02,1145,1,VIIRS,h,2.0NRT,301.75,16.51,D
18695,49.41958,27.66562,333.84,0.32,0.54,2022-05-02,1145,1,VIIRS,n,2.0NRT,297.52,3.16,D
18697,49.35574,29.04099,342.7,0.37,0.58,2022-05-02,1145,1,VIIRS,n,2.0NRT,297.54,3.06,D
18698,49.35872,29.04125,347.33,0.37,0.58,2022-05-02,1145,1,VIIRS,n,2.0NRT,300.45,4.01,D
18699,48.77888,26.53602,342.08,0.56,0.51,2022-05-02,1145,1,VIIRS,n,2.0NRT,303.03,5.56,D
18700,48.86477,28.3656,341.64,0.34,0.56,2022-05-02,1145,1,VIIRS,n,2.0NRT,295.12,3.85,D
18701,48.89946,31.53063,335.61,0.48,0.64,2022-05-02,1145,1,VIIRS,n,2.0NRT,291.09,4.92,D
18702,48.89709,31.53403,330.2,0.48,0.64,2022-05-02,1145,1,VIIRS,n,2.0NRT,293.34,4.21,D
18703,48.81939,29.71502,336.81,0.39,0.59,2022-05-02,1145,1,VIIRS,n,2.0NRT,296.05,3.5,D
18704,48.81956,29.72042,341.49,0.39,0.59,2022-05-02,1145,1,VIIRS,n,2.0NRT,296.86,3.5,D
18705,48.59494,29.41953,335.84,0.38,0.59,2022-05-02,1145,1,VIIRS,n,2.0NRT,294.38,2.95,D
18706,48.05858,23.45284,340.52,0.4,0.44,2022-05-02,1145,1,VIIRS,n,2.0NRT,284.32,8.84,D
18720,49.62206,31.078,367,0.46,0.63,2022-05-02,1145,1,VIIRS,h,2.0NRT,300.2,17.75,D
18721,49.62197,31.0717,344.02,0.46,0.63,2022-05-02,1145,1,VIIRS,n,2.0NRT,310.06,17.75,D
18722,49.62786,31.07158,367,0.46,0.63,2022-05-02,1145,1,VIIRS,h,2.0NRT,299.69,10.5,D
18723,49.29297,23.75998,331.26,0.43,0.46,2022-05-02,1145,1,VIIRS,n,2.0NRT,295.59,1.59,D
18725,49.71135,29.32833,367,0.38,0.59,2022-05-02,1145,1,VIIRS,h,2.0NRT,296.94,9.3,D
18728,49.46019,23.56207,328.42,0.42,0.45,2022-05-02,1145,1,VIIRS,n,2.0NRT,295.92,2.35,D
18729,49.46078,23.55972,328.75,0.42,0.45,2022-05-02,1145,1,VIIRS,n,2.0NRT,296,3.4,D
18730,49.86142,27.13637,339.91,0.61,0.53,2022-05-02,1145,1,VIIRS,n,2.0NRT,297.91,6.87,D
30883,48.47218,34.62885,307.74,0.41,0.37,2022-05-02,2356,1,VIIRS,n,2.0NRT,280.81,1.61,N
30884,48.52141,34.63212,331.43,0.41,0.37,2022-05-02,2356,1,VIIRS,n,2.0NRT,282.15,3.05,N
30885,48.53192,34.61334,314.23,0.41,0.37,2022-05-02,2356,1,VIIRS,n,2.0NRT,281.35,1.09,N
30886,48.47107,34.96636,296.05,0.41,0.37,2022-05-02,2356,1,VIIRS,n,2.0NRT,281,0.94,N
30887,48.53368,34.64296,311.03,0.41,0.37,2022-05-02,2356,1,VIIRS,n,2.0NRT,282.71,1.3,N
30927,47.8311,38.47667,296.39,0.54,0.42,2022-05-02,2356,1,VIIRS,n,2.0NRT,274.27,1.22,N
30928,48.06091,37.95634,296.72,0.51,0.41,2022-05-02,2356,1,VIIRS,n,2.0NRT,279.16,1.02,N
30929,47.83483,38.47847,297.03,0.54,0.42,2022-05-02,2356,1,VIIRS,n,2.0NRT,277.09,1.02,N
30939,51.86193,25.91475,300.76,0.56,0.43,2022-05-02,2356,1,VIIRS,n,2.0NRT,274.55,1.25,N
30942,50.27776,35.95984,325.72,0.42,0.37,2022-05-02,2356,1,VIIRS,n,2.0NRT,275.75,2.39,N
30943,50.65921,33.64273,310.35,0.39,0.36,2022-05-02,2356,1,VIIRS,n,2.0NRT,275.23,1.12,N
30944,50.04453,36.46821,316.04,0.43,0.38,2022-05-02,2356,1,VIIRS,n,2.0NRT,277.13,1.81,N
30945,50.01751,36.55094,296.27,0.43,0.38,2022-05-02,2356,1,VIIRS,n,2.0NRT,273.39,0.37,N
30947,50.16529,33.68728,313.54,0.39,0.36,2022-05-02,2356,1,VIIRS,n,2.0NRT,280.07,0.7,N
30948,48.98662,38.41504,295.09,0.51,0.41,2022-05-02,2356,1,VIIRS,n,2.0NRT,275.14,0.49,N
30949,48.97152,37.86374,299.56,0.49,0.4,2022-05-02,2356,1,VIIRS,n,2.0NRT,275.21,0.79,N
30950,48.87339,37.90886,299.16,0.49,0.41,2022-05-02,2356,1,VIIRS,n,2.0NRT,272.2,0.54,N
30953,49.90883,31.90434,300.64,0.39,0.36,2022-05-02,2356,1,VIIRS,n,2.0NRT,273.07,0.48,N
30954,49.90477,31.90844,316.88,0.39,0.36,2022-05-02,2356,1,VIIRS,n,2.0NRT,273.76,1.26,N
30955,48.66484,38.47204,301.06,0.52,0.42,2022-05-02,2356,1,VIIRS,n,2.0NRT,273.92,1.2,N
30956,50.54576,26.26162,305.88,0.52,0.42,2022-05-02,2356,1,VIIRS,n,2.0NRT,280.77,1.73,N
30957,48.4684,38.76382,302.8,0.54,0.42,2022-05-02,2356,1,VIIRS,n,2.0NRT,277.74,0.81,N
30958,48.46469,38.76195,296.75,0.54,0.42,2022-05-02,2356,1,VIIRS,n,2.0NRT,276.65,0.81,N
30959,48.28587,38.0863,297.23,0.51,0.41,2022-05-02,2356,1,VIIRS,n,2.0NRT,278.23,0.65,N
30960,48.21523,38.2456,328.81,0.52,0.42,2022-05-02,2356,1,VIIRS,n,2.0NRT,275.7,4.09,N
30962,48.16642,37.70347,297.84,0.5,0.41,2022-05-02,2356,1,VIIRS,n,2.0NRT,280.94,1.42,N
30963,48.09995,37.92369,297.67,0.51,0.41,2022-05-02,2356,1,VIIRS,n,2.0NRT,279.16,1.13,N
30969,47.26762,35.6838,300.53,0.45,0.39,2022-05-02,2358,1,VIIRS,n,2.0NRT,274.22,0.88,N
30970,47.63024,34.32294,304.87,0.41,0.37,2022-05-02,2358,1,VIIRS,n,2.0NRT,277.7,1.76,N
30971,48.97769,24.71012,305.83,0.39,0.44,2022-05-02,2358,1,VIIRS,n,2.0NRT,281.23,1.25,N
30972,47.86027,33.44545,308.7,0.39,0.37,2022-05-02,2358,1,VIIRS,n,2.0NRT,277.64,2.79,N
30973,47.85938,33.45061,323.12,0.39,0.37,2022-05-02,2358,1,VIIRS,n,2.0NRT,283.5,4.08,N
30974,47.86532,33.43639,305.39,0.39,0.37,2022-05-02,2358,1,VIIRS,n,2.0NRT,278.24,1.19,N
30975,47.87542,33.41828,300.82,0.39,0.36,2022-05-02,2358,1,VIIRS,n,2.0NRT,282.39,1.18,N
30976,47.8763,33.41313,310.05,0.39,0.36,2022-05-02,2358,1,VIIRS,n,2.0NRT,283.48,1.18,N
30977,47.88135,33.40407,298.58,0.39,0.36,2022-05-02,2358,1,VIIRS,n,2.0NRT,279.43,1.19,N
30978,47.88224,33.39892,296.6,0.39,0.36,2022-05-02,2358,1,VIIRS,n,2.0NRT,279.74,0.88,N
30979,49.30609,24.24472,302.65,0.41,0.45,2022-05-02,2358,1,VIIRS,n,2.0NRT,273.5,1.9,N
30982,47.86119,35.1433,303.4,0.42,0.38,2022-05-02,2358,1,VIIRS,n,2.0NRT,281.68,1.01,N
30983,47.86689,35.15161,303.81,0.42,0.38,2022-05-02,2358,1,VIIRS,n,2.0NRT,282.43,1.28,N
30984,47.86818,35.16406,307.73,0.43,0.38,2022-05-02,2358,1,VIIRS,n,2.0NRT,280.16,0.92,N
30985,47.87749,35.19181,327.95,0.43,0.38,2022-05-02,2358,1,VIIRS,n,2.0NRT,279.88,5.51,N
30986,47.88086,35.19323,314.18,0.43,0.38,2022-05-02,2358,1,VIIRS,n,2.0NRT,278.17,1.37,N
30988,45.5774,34.24862,297.42,0.43,0.38,2022-05-02,2358,1,VIIRS,n,2.0NRT,275.86,0.84,N344,50.5468,26.25971,295.6,0.52,0.67,2022-05-03,134,1,VIIRS,n,2.0NRT,277.24,0.95,N
10872,49.09912,37.71864,338.4,0.39,0.44,2022-05-03,943,1,VIIRS,n,2.0NRT,298.53,2.91,D
10875,48.6569,38.37434,338.58,0.56,0.43,2022-05-03,943,1,VIIRS,n,2.0NRT,295.06,4.96,D
10876,48.46121,38.77534,339.51,0.55,0.42,2022-05-03,943,1,VIIRS,n,2.0NRT,297.78,5.91,D
10877,48.22289,38.2472,336.7,0.39,0.44,2022-05-03,943,1,VIIRS,n,2.0NRT,299.11,5.23,D
10878,48.21411,38.24605,334.1,0.39,0.44,2022-05-03,943,1,VIIRS,n,2.0NRT,297.44,3.19,D
10879,47.57189,35.84957,336.98,0.5,0.49,2022-05-03,943,1,VIIRS,n,2.0NRT,293.77,5.08,D
10880,46.48939,31.92169,336.85,0.4,0.6,2022-05-03,943,1,VIIRS,n,2.0NRT,283.31,7.78,D
10881,46.47821,31.98601,345.46,0.4,0.6,2022-05-03,943,1,VIIRS,n,2.0NRT,285.17,4.87,D
10883,47.50522,37.73364,330.03,0.42,0.45,2022-05-03,943,1,VIIRS,n,2.0NRT,298.73,4.66,D
10884,47.87199,39.71148,341.94,0.52,0.41,2022-05-03,943,1,VIIRS,n,2.0NRT,308.44,11.58,D
10888,51.2177,32.19446,332.81,0.56,0.51,2022-05-03,943,1,VIIRS,n,2.0NRT,296.61,5.99,D
10908,50.58409,24.90679,341.48,0.57,0.69,2022-05-03,943,1,VIIRS,n,2.0NRT,291.66,7.74,D
10924,50.49189,32.12814,332.8,0.59,0.53,2022-05-03,943,1,VIIRS,n,2.0NRT,297.57,11.85,D
10925,50.49403,32.13588,344.73,0.59,0.53,2022-05-03,943,1,VIIRS,n,2.0NRT,297.21,11.85,D
10929,50.76428,34.0836,339.5,0.49,0.48,2022-05-03,943,1,VIIRS,n,2.0NRT,298.18,9.05,D
10933,50.25097,32.98534,340.49,0.56,0.51,2022-05-03,943,1,VIIRS,n,2.0NRT,299.64,19.19,D
10935,49.98661,32.65023,331.64,0.58,0.52,2022-05-03,943,1,VIIRS,n,2.0NRT,298.44,3.63,D
10963,50.12432,36.15458,333.29,0.42,0.45,2022-05-03,943,1,VIIRS,n,2.0NRT,297.39,3.63,D
10975,48.22903,29.82694,351.47,0.44,0.62,2022-05-03,943,1,VIIRS,n,2.0NRT,274.24,5.25,D
10976,48.23241,29.82639,336.59,0.44,0.62,2022-05-03,943,1,VIIRS,n,2.0NRT,271.43,3.7,D
10980,49.76555,37.03354,340.62,0.39,0.44,2022-05-03,943,1,VIIRS,n,2.0NRT,298.08,4.81,D
10982,49.49422,36.50969,336.14,0.42,0.45,2022-05-03,943,1,VIIRS,n,2.0NRT,296.08,3.63,D
10983,49.47198,36.85995,297.61,0.41,0.45,2022-05-03,943,1,VIIRS,l,2.0NRT,311.15,39.98,D
10984,49.47324,36.86531,342.1,0.41,0.45,2022-05-03,943,1,VIIRS,n,2.0NRT,297.86,39.98,D
10985,48.96437,37.95379,333.7,0.57,0.43,2022-05-03,943,1,VIIRS,n,2.0NRT,299.14,18.75,D
10986,48.96604,37.96121,340.82,0.57,0.43,2022-05-03,943,1,VIIRS,n,2.0NRT,304.76,22.19,D
